country,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Denmark,2016-01-01,30.0,6.9405,4.322455154527772,6.085192697768763,-12.32342485744885
Egypt,2003-04-01,8.0,5.92,1.38,2.952029520295203,-50.13463648149995
Egypt,2004-05-01,10.0,6.19,1.62,3.4482758620689657,-44.29279705865968
Egypt,2005-06-01,9.0,5.8,1.5517241379310345,2.941176470588235,-49.290060851926974
Egypt,2006-01-01,9.25,5.74,1.6114982578397212,2.9365079365079367,-48.841325147945355
Egypt,2006-05-01,9.5,5.77075,1.6462331586015684,3.064516129032258,-46.895704561239725
Egypt,2007-01-01,9.09,5.7,1.594736842105263,2.822981366459627,-50.47401111474339
Egypt,2007-06-01,9.54,5.69025,1.6765519968366942,2.7976539589442813,-50.83425229217906
Egypt,2008-06-01,13.0,5.3125,2.447058823529412,3.641456582633053,-31.45493491514253
Egypt,2009-07-01,13.0,5.58475,2.3277675813599537,3.641456582633053,-34.79642629243828
Egypt,2010-01-01,13.0,5.465,2.3787740164684354,3.631284916201117,-33.5537984226694
Egypt,2010-07-01,13.0,5.699,2.2811019477101246,3.482142857142857,-38.89905497205023
Egypt,2011-07-01,14.09,5.962,2.36330090573633,3.466174661746617,-41.862216341049695
Egypt,2012-01-01,15.5,6.037,2.56750041411297,3.6929205521750115,-38.82854808389909
Egypt,2012-07-01,16.0,6.0665,2.6374350943707245,3.6972848064702486,-39.05407060957309
Egypt,2013-01-01,16.0,6.68575,2.3931496092435407,3.6635103871013905,-45.2041971790541
Egypt,2013-07-01,16.75,7.00915,2.3897334198868623,3.675932699341624,-47.55522853210983
Egypt,2014-01-01,16.93,6.961,2.4321218215773595,3.6612002162551813,-47.40410549841716
Egypt,2014-07-01,16.93,7.15005,2.367815609681051,3.5307612095933263,-50.61906966254326
Egypt,2015-01-01,16.93,7.35005,2.303385691253801,3.5344467640918578,-51.9126160489812
Egypt,2015-07-01,16.93,7.83005,2.162182872395451,3.5344467640918578,-54.86048283099267
Egypt,2016-01-01,16.93,7.83005,2.162182872395451,3.4340770791075053,-56.142335245528386
Estonia,2011-07-01,2.2,0.6975203152791825,3.1540300000000006,0.5412054120541205,-22.410086100861005
Estonia,2012-01-01,2.04,0.7882394671501202,2.5880460000000003,0.4860359952540015,-38.339043462101095
Estonia,2012-07-01,2.04,0.8248443106363673,2.4731940000000003,0.4714038128249567,-42.84935875216637
Estonia,2013-01-01,2.7,0.736946829286267,3.663765,0.6182173778233597,-16.110992916259203
Estonia,2013-07-01,2.75,0.7777561734396267,3.5358125,0.6035113386978785,-22.40352962692026
Estonia,2014-01-01,2.8,0.7372184746949759,3.7980599999999995,0.6055145071183997,-17.86498468192468
Estonia,2014-07-01,2.9,0.7427489137297137,3.9044149999999993,0.6047966631908238,-18.573201251303438
Estonia,2015-01-01,2.9,0.8630734043930437,3.3600849999999998,0.6054279749478079,-29.852087682672245
Estonia,2015-07-01,2.95,0.9127002236115548,3.2321675,0.6158663883089771,-32.52259916492692
Estonia,2016-01-01,3.0,0.9302325581395349,3.225,0.6085192697768763,-34.58417849898579
Euro area,2000-04-01,2.56,1.0752688172043,2.38,1.0199203187250998,-5.147410358565708
Euro area,2001-04-01,2.57,1.1363636363636365,2.27,1.0118110236220472,-10.960629921259857
Euro area,2002-04-01,2.67,1.1235955056179776,2.37,1.0722891566265058,-4.566265060240992
Euro area,2003-04-01,2.71,0.9090909090909091,2.98,1.0,10.0
Euro area,2004-05-01,2.74,0.8333333333333334,3.28,0.9448275862068967,13.3793103448276
Euro area,2005-06-01,2.92,0.8149295085975062,3.5831320000000004,0.9542483660130718,17.09581699346405
Euro area,2006-01-01,2.91,0.8281573498964803,3.5138250000000006,0.9238095238095239,11.55
Euro area,2006-05-01,2.939573529262936,0.7803659916500839,3.766916499073989,0.948249525568689,21.51343545399964
Euro area,2007-01-01,2.94,0.7718133755257979,3.809211,0.9130434782608695,18.298478260869565
Euro area,2007-06-01,3.0574824433737,0.7337564662288587,4.166889947951846,0.8966224174116422,22.19618615694565
Euro area,2008-06-01,3.36856,0.6304971470004098,5.342704588,0.9435742296918768,49.655590700280115
Euro area,2009-07-01,3.31,0.7168972686214066,4.617119,0.927170868347339,29.331064425770315
Euro area,2010-01-01,3.36,0.6936496375680643,4.8439440000000005,0.9385474860335195,35.30569832402235
Euro area,2010-07-01,3.380031070768133,0.7801529099703541,4.332523826510593,0.9053654653843213,16.049745352962308
Euro area,2011-07-01,3.4376604013615535,0.6975203152791825,4.928401834411991,0.8456729154640967,21.23989752551023
Euro area,2012-01-01,3.492456370244605,0.7882394671501202,4.4307047741108185,0.8320879940161834,5.562843360863101
Euro area,2012-07-01,3.583482241281728,0.8248443106363673,4.344434695217903,0.8280721528091805,0.3913274458209992
Euro area,2013-01-01,3.5948495721818468,0.736946829286267,4.878031126972157,0.8231105467346991,11.691985639165004
Euro area,2013-07-01,3.6238704886156152,0.7777561734396267,4.659391480737527,0.7952897926735074,2.254385092996225
Euro area,2014-01-01,3.657962723582664,0.7372184746949759,4.961843536403704,0.7910533912955843,7.302437262289518
Euro area,2014-07-01,3.6792382895899483,0.7427489137297137,4.953542471189427,0.7673072553889361,3.3064123292893877
Euro area,2015-01-01,3.68,0.8630734043930437,4.263832,0.768267223382046,-10.984718162839247
Euro area,2015-07-01,3.7,0.9127002236115548,4.053905,0.7724425887265136,-15.367327766179539
Euro area,2016-01-01,3.72,0.9302325581395349,3.999,0.7545638945233266,-18.884381338742383
Finland,2011-07-01,3.75,0.6975203152791825,5.3761875,0.9225092250922509,32.25553505535055
Finland,2012-01-01,3.75,0.7882394671501202,4.7574375,0.8934485206875027,13.347346577020037
Finland,2012-07-01,3.75,0.8248443106363673,4.5463125,0.8665511265164645,5.056325823223573
Finland,2013-01-01,3.75,0.736946829286267,5.0885625,0.8586352469768884,16.512509838528878
Finland,2013-07-01,4.1,0.7777561734396267,5.2715749999999995,0.8997805413313825,15.689283101682516
Finland,2014-01-01,4.1,0.7372184746949759,5.561444999999999,0.8866462425662281,20.269129572896016
Finland,2014-07-01,4.1,0.7427489137297137,5.520034999999999,0.8550573514077163,15.120646506777868
Finland,2015-01-01,4.1,0.8630734043930437,4.750464999999999,0.8559498956158663,-0.8253653444676545
Finland,2015-07-01,4.1,0.9127002236115548,4.492165,0.8559498956158663,-6.217849686847609
Finland,2016-01-01,4.1,0.9302325581395349,4.4075,0.8316430020283976,-10.598377281947258
France,2011-07-01,3.5,0.6975203152791825,5.017775,0.8610086100861007,23.43849938499385
France,2012-01-01,3.6,0.7882394671501202,4.56714,0.8577105798600027,8.813452713939252
France,2012-07-01,3.6,0.8248443106363673,4.36446,0.831889081455806,0.8540727902946355
France,2013-01-01,3.6,0.736946829286267,4.88502,0.8242898370978129,11.852009444987722
France,2013-07-01,3.9,0.7777561734396267,5.014425,0.8558888076079005,10.04590343818581
France,2014-01-01,3.8,0.7372184746949759,5.154509999999999,0.8217696882321138,11.468949360245073
France,2014-07-01,3.9,0.7427489137297137,5.2507649999999995,0.8133472367049009,9.505005213764317
France,2015-01-01,3.9,0.8630734043930437,4.5187349999999995,0.8141962421711899,-5.6631524008350915
France,2015-07-01,4.1,0.9127002236115548,4.492165,0.8559498956158663,-6.217849686847609
France,2016-01-01,4.1,0.9302325581395349,4.4075,0.8316430020283976,-10.598377281947258
Germany,2011-07-01,3.4,0.6975203152791825,4.87441,0.8364083640836407,19.911685116851153
Germany,2012-01-01,3.53,0.7882394671501202,4.4783345,0.8410328741405025,6.697635577834871
Germany,2012-07-01,3.64,0.8248443106363673,4.412954000000001,0.8411322934719816,1.9746735990757047
Germany,2013-01-01,3.64,0.736946829286267,4.939298,0.8334486130655664,13.09480954993203
Germany,2013-07-01,3.64,0.7777561734396267,4.68013,0.7988295537673739,2.7095098756400926
Germany,2014-01-01,3.67,0.7372184746949759,4.978171499999999,0.793656514687331,7.655537934763013
Germany,2014-07-01,3.67,0.7427489137297137,4.9411045,0.7653806047966631,3.0470177267987397
Germany,2015-01-01,3.67,0.8630734043930437,4.2522455,0.7661795407098121,-11.226607515657626
Germany,2015-07-01,3.59,0.9127002236115548,3.9333834999999997,0.7494780793319415,-17.88343423799582
Germany,2016-01-01,3.59,0.9302325581395349,3.85925,0.7281947261663286,-21.71906693711967
Greece,2011-07-01,3.26,0.6975203152791825,4.673699,0.8019680196801967,14.974145141451412
Greece,2012-01-01,3.3,0.7882394671501202,4.186545,0.7862346982050024,-0.2543350122223731
Greece,2012-07-01,2.683,0.8248443106363673,3.25273505,0.6199884459849798,-24.835700751010968
Greece,2013-01-01,3.3,0.736946829286267,4.4779349999999996,0.7555990173396618,2.531008657905409
Greece,2013-07-01,2.6,0.7777561734396267,3.34295,0.570592538405267,-26.63606437454279
Greece,2014-01-01,3.05,0.7372184746949759,4.137172499999999,0.6595783023968282,-10.53150117138224
Greece,2014-07-01,3.05,0.7427489137297137,4.106367499999999,0.6360792492179353,-14.361470281543287
Greece,2015-01-01,3.05,0.8630734043930437,3.5338824999999994,0.6367432150313151,-26.223747390396678
Greece,2015-07-01,3.05,0.9127002236115548,3.3417325,0.6367432150313151,-30.235229645093952
Greece,2016-01-01,3.35,0.9302325581395349,3.6012500000000003,0.6795131845841785,-26.952332657200806
Hong Kong,2000-04-01,10.2,7.79,1.31,4.063745019920319,-47.833825161485
Hong Kong,2001-04-01,10.7,7.8,1.37,4.21259842519685,-45.992327882091665
Hong Kong,2002-04-01,11.2,8.0,1.4,4.497991967871485,-43.77510040160644
Hong Kong,2003-04-01,11.5,7.8,1.47,4.243542435424354,-45.59560980225187
Hong Kong,2004-05-01,12.0,7.79,1.54,4.137931034482759,-46.881501482891416
Hong Kong,2005-06-01,12.0,7.7807,1.5422776870975619,3.9215686274509802,-49.59876839550452
Hong Kong,2006-01-01,12.0,7.7512,1.5481473836309216,3.8095238095238098,-50.85246401171677
Hong Kong,2006-05-01,12.0,7.7533,1.5477280641791236,3.8709677419354835,-50.07328825228634
Hong Kong,2007-01-01,12.0,7.79845,1.5387673191467535,3.7267080745341614,-52.21219505755423
Hong Kong,2007-06-01,12.0,7.81555,1.535400579613719,3.5190615835777126,-54.973590040653406
Hong Kong,2008-06-01,13.3,7.7974,1.7056967707184447,3.725490196078432,-52.221378971472134
Hong Kong,2009-07-01,13.3,7.7505,1.7160183213986195,3.725490196078432,-51.932259904800574
Hong Kong,2010-01-01,14.8,7.75655,1.9080647968491147,4.134078212290503,-46.702100646672775
Hong Kong,2010-07-01,14.8,7.7742,1.9037328599727303,3.9642857142857144,-49.00715553644473
Hong Kong,2011-07-01,15.1,7.7918,1.9379347519186836,3.714637146371463,-52.32632836608405
Hong Kong,2012-01-01,16.5,7.76735,2.1242766194390623,3.931173491025012,-49.38848524882988
Hong Kong,2012-07-01,16.5,7.75815,2.126795692271998,3.812824956672444,-50.8539412531023
Hong Kong,2013-01-01,17.0,7.7591,2.190975757497648,3.8924797862952274,-49.83335971575018
Hong Kong,2013-07-01,17.0,7.75665,2.191667794730973,3.7307973664959766,-51.901950371668484
Hong Kong,2014-01-01,18.0,7.75785,2.320230476227305,3.8925932600468554,-49.82381381379049
Hong Kong,2014-07-01,18.8,7.75045,2.4256656065131703,3.9207507820646508,-49.41260466083065
Hong Kong,2015-01-01,18.8,7.75135,2.4253839653737734,3.9248434237995826,-49.36567921975421
Hong Kong,2015-07-01,19.2,7.7508,2.477163647623471,4.008350730688935,-48.28468376568954
Hong Kong,2016-01-01,19.2,7.75235,2.4766683650763963,3.894523326572008,-49.76331916680737
Hungary,2000-04-01,339.0,279.0,1.21,135.0597609561753,-51.59148352825258
Hungary,2001-04-01,399.0,303.0,1.32,157.08661417322836,-48.15623294612925
Hungary,2002-04-01,459.0,272.0,1.69,184.33734939759034,-32.22891566265061
Hungary,2003-04-01,490.0,224.0,2.14,180.8118081180812,-19.280442804428045
Hungary,2004-05-01,530.0,211.0,2.52,182.75862068965517,-13.3845399575094
Hungary,2005-06-01,530.0,203.643,2.6025937547570996,173.20261437908496,-14.947916511205905
Hungary,2006-01-01,560.0,206.956,2.7058891745105242,177.77777777777777,-14.098756364745268
Hungary,2006-05-01,560.0,206.3444,2.7139093670581804,180.64516129032256,-12.454536546510319
Hungary,2007-01-01,590.0,194.4237,3.034609463763934,183.22981366459626,-5.757470069443038
Hungary,2007-06-01,600.0,180.2106,3.3294378910008624,175.95307917888562,-2.3625251905905587
Hungary,2008-06-01,670.0,144.2578,4.644462899059877,187.67507002801122,30.096999973666037
Hungary,2009-07-01,720.0,199.1577,3.615225522287112,201.68067226890759,1.266821352580183
Hungary,2010-01-01,720.0,186.6508,3.8574707421559404,201.11731843575419,7.750579389830725
Hungary,2010-07-01,740.0,221.96915,3.333796610925437,198.21428571428572,-10.701876493068651
Hungary,2011-07-01,760.0,188.0724,4.040996977759629,186.96186961869617,-0.5904802519156593
Hungary,2012-01-01,645.0,245.69425,2.6252140617861426,153.67314555825047,-37.45350346691041
Hungary,2012-07-01,830.0,238.2151,3.484245960898365,191.7966493356442,-19.48593966728214
Hungary,2013-01-01,830.0,217.46935,3.816629791738468,190.04460133088463,-12.610856964034411
Hungary,2013-07-01,860.0,228.462,3.764302159658937,188.73445501097294,-17.38912597676071
Hungary,2014-01-01,860.0,223.09705,3.8548246155652888,185.9794557577942,-16.637420459932486
Hungary,2014-07-01,860.0,228.30615,3.7668718078772736,179.35349322210635,-21.441672411318592
Hungary,2015-01-01,860.0,271.39345,3.168831082695622,179.54070981210856,-33.844862574204136
Hungary,2015-07-01,900.0,282.8778,3.1815858296409263,187.89144050104383,-33.57858393233975
Hungary,2016-01-01,900.0,292.67905,3.075040731477022,182.5557809330629,-37.625948651581695
India,2011-07-01,84.0,44.4,1.8918918918918919,20.664206642066418,-53.458994049399955
India,2012-01-01,84.0,51.905,1.6183412002697235,20.013246863400063,-61.442545297370074
India,2012-07-01,89.0,56.165,1.5846167542063563,20.56614673599076,-63.3826284412165
India,2013-01-01,89.0,53.395,1.6668227362112555,20.378276528251487,-61.83485995270814
India,2013-07-01,90.0,59.98,1.5005001667222408,19.751280175566936,-67.07022311509347
India,2014-01-01,95.0,61.845,1.5360983102918586,20.54424220580285,-66.78107816993636
India,2014-07-01,105.0,60.08875,1.7474152815626887,21.8978102189781,-63.55755408628387
India,2015-01-01,116.25,61.615,1.886715897102978,24.269311064718163,-60.611359141900245
India,2015-07-01,116.25,63.43,1.832728992590257,24.269311064718163,-61.73843439268774
India,2016-01-01,127.0,66.8025,1.901126454848247,25.760649087221097,-61.43759726474144
Indonesia,2000-04-01,14500.0,7945.0,1.83,5776.892430278885,-27.288956195357017
Indonesia,2001-04-01,14700.0,10855.0,1.35,5787.40157480315,-46.68446269181806
Indonesia,2002-04-01,16000.0,9430.0,1.71,6425.70281124498,-31.858930951802968
Indonesia,2003-04-01,16100.0,8740.0,1.81,5940.959409594096,-32.02563604583415
Indonesia,2004-05-01,16100.0,9120.0,1.77,5551.724137931034,-39.125831820931644
Indonesia,2005-06-01,14600.0,9545.0,1.529596647459403,4771.241830065359,-50.01318145557507
Indonesia,2006-01-01,14600.0,9460.0,1.5433403805496828,4634.920634920635,-51.00506728413705
Indonesia,2006-05-01,14600.0,9325.0,1.5656836461126005,4709.677419354839,-49.49407593185159
Indonesia,2007-01-01,15900.0,9090.0,1.7491749174917492,4937.888198757763,-45.67779759342394
Indonesia,2007-06-01,15900.0,9015.0,1.7637271214642263,4662.756598240469,-48.277797024509496
Indonesia,2008-06-01,18700.0,9152.0,2.043269230769231,5238.0952380952385,-42.76556776556776
Indonesia,2009-07-01,20900.0,10200.0,2.049019607843137,5854.341736694678,-42.604492777503154
Indonesia,2010-01-01,20900.0,9320.0,2.242489270386266,5837.988826815642,-37.36063490541157
Indonesia,2010-07-01,22780.0,9063.0,2.51351649564162,6101.785714285714,-32.67366529531376
Indonesia,2011-07-01,22534.0,8523.0,2.643904728382025,5543.419434194341,-34.95929327473494
Indonesia,2012-01-01,22534.0,9160.0,2.4600436681222706,5368.791724045916,-41.38873663705331
Indonesia,2012-07-01,24200.0,9482.5,2.5520696018982334,5592.143269786251,-41.02669897404429
Indonesia,2013-01-01,27939.0,9767.5,2.8604044023547477,6397.176044076609,-34.50549225414272
Indonesia,2013-07-01,27939.0,9965.0,2.8037129954841946,6131.455742501829,-38.4700878825707
Indonesia,2014-01-01,27939.0,12140.0,2.3014003294892915,6041.953505136061,-50.23102549311318
Indonesia,2014-07-01,27939.0,11505.0,2.4284224250325943,5826.694473409802,-49.35511105250063
Indonesia,2015-01-01,27939.0,12480.0,2.238701923076923,5832.776617954071,-53.26300786895777
Indonesia,2015-07-01,30500.0,13344.5,2.2855858218741805,6367.432150313152,-52.28422083769979
Indonesia,2016-01-01,30500.0,13947.5,2.186771822907331,6186.612576064909,-55.643573571859406
Ireland,2011-07-01,3.8,0.6975203152791825,5.44787,0.9348093480934808,34.0189421894219
Ireland,2012-01-01,3.8,0.7882394671501202,4.82087,0.9053611676300027,14.858644531380305
Ireland,2012-07-01,3.49,0.8248443106363673,4.2311015,0.8064702484113231,-2.227579433853233
Ireland,2013-01-01,3.49,0.736946829286267,4.735755500000001,0.7991032031864909,8.434309156390874
Ireland,2013-07-01,3.46,0.7777561734396267,4.448695,0.75932699341624,-2.3695318215069427
Ireland,2014-01-01,3.46,0.7372184746949759,4.6933169999999995,0.748242926653451,1.4954117859073524
Ireland,2014-07-01,3.49,0.7427489137297137,4.6987615,0.7278415015641294,-2.00705943691345
Ireland,2015-01-01,3.49,0.8630734043930437,4.0436885,0.7286012526096034,-15.580615866388303
Ireland,2015-07-01,3.7,0.9127002236115548,4.053905,0.7724425887265136,-15.367327766179539
Ireland,2016-01-01,3.95,0.9302325581395349,4.24625,0.8012170385395538,-13.869168356997964
Israel,2000-04-01,14.5,4.05,3.58,5.776892430278885,42.63931926614531
Israel,2002-04-01,12.0,4.79,2.51,4.8192771084337345,0.6112131197021808
Israel,2009-07-01,15.0,3.97425,3.774297037176826,4.201680672268908,5.722606083384485
Israel,2010-01-01,14.9,3.7325,3.9919624916275955,4.162011173184357,11.507332168368588
Israel,2010-07-01,14.9,3.8619,3.858204510733059,3.991071428571429,3.3447636803497938
Israel,2011-07-01,15.9,3.40335,4.671867424743268,3.911439114391144,14.929087939563779
Israel,2012-01-01,15.9,3.8485,4.131479797323633,3.788221727715012,-1.5662796488239095
Israel,2012-07-01,11.9,4.07625,2.91934989267096,2.7498555748122477,-32.539574981606926
Israel,2013-01-01,14.9,3.72455,4.000483279859312,3.4116440479881702,-8.401174692562307
Israel,2013-07-01,17.5,3.64595,4.799846404915042,3.840526700804682,5.336790159071891
Israel,2014-01-01,17.5,3.4882,5.01691416776561,3.7844656694899985,8.493368198211071
Israel,2014-07-01,17.5,3.4138,5.126252270197433,3.6496350364963503,6.908285092751476
Israel,2015-01-01,17.5,3.93415,4.448228969408894,3.653444676409186,-7.135094584365465
Israel,2015-07-01,17.5,3.77835,4.631651382217105,3.653444676409186,-3.3058166551752532
Israel,2016-01-01,16.9,3.94105,4.288197307824056,3.4279918864097363,-13.018310186124605
Italy,2011-07-01,3.5,0.6975203152791825,5.017775,0.8610086100861007,23.43849938499385
Italy,2012-01-01,3.5,0.7882394671501202,4.440275000000001,0.8338852859750026,5.790856805218714
Italy,2012-07-01,3.6,0.8248443106363673,4.36446,0.831889081455806,0.8540727902946355
Italy,2013-01-01,3.85,0.736946829286267,5.2242575,0.8815321868962721,19.61951010088965
Italy,2013-07-01,3.75,0.7777561734396267,4.8215625,0.8229700073152889,5.813368690563281
Italy,2014-01-01,3.85,0.7372184746949759,5.222332499999999,0.8325824472877996,12.935646062353579
Italy,2014-07-01,3.85,0.7427489137297137,5.1834475,0.8029197080291971,8.10109489051094
Italy,2015-01-01,3.85,0.8630734043930437,4.4608025,0.8037578288100209,-6.872599164926941
Italy,2015-07-01,4.0,0.9127002236115548,4.3826,0.8350730688935282,-8.50521920668058
Italy,2016-01-01,4.0,0.9302325581395349,4.3,0.8113590263691685,-12.778904665314395
Japan,2000-04-01,294.0,106.0,2.78,117.13147410358567,10.50139066376008
Japan,2001-04-01,294.0,124.0,2.38,115.74803149606299,-6.654813309626617
Japan,2002-04-01,262.0,130.0,2.01,105.22088353413653,-19.060858819894978
Japan,2003-04-01,262.0,120.0,2.18,96.6789667896679,-19.434194341943424
Japan,2004-05-01,262.0,113.0,2.33,90.3448275862069,-20.048825144949646
Japan,2005-06-01,250.0,106.715,2.342688469287354,81.69934640522875,-23.44155329126294
Japan,2006-01-01,250.0,114.305,2.18713092165697,79.36507936507937,-30.56727232835015
Japan,2006-05-01,250.0,112.105,2.2300521832210873,80.64516129032258,-28.06283279931977
Japan,2007-01-01,280.0,121.585,2.3029156557141097,86.95652173913042,-28.4808802573258
Japan,2007-06-01,280.0,122.315,2.289171401708703,82.11143695014663,-32.86887385018466
Japan,2008-06-01,280.0,106.855,2.6203734032099573,78.43137254901961,-26.60018478403481
Japan,2009-07-01,320.0,92.565,3.4570301949981097,89.6358543417367,-3.164420308176197
Japan,2010-01-01,320.0,91.54,3.4957395674022282,89.3854748603352,-2.353643368652847
Japan,2010-07-01,320.0,87.18,3.670566643725625,85.71428571428571,-1.6812506144922024
Japan,2011-07-01,320.0,78.365,4.083455624322083,78.72078720787206,0.45401289845219406
Japan,2012-01-01,320.0,76.92,4.160166406656266,76.24094043200023,-0.882812750909745
Japan,2012-07-01,320.0,78.22,4.091025313219125,73.94569612940498,-5.464464165935845
Japan,2013-01-01,320.0,91.065,3.513973535386812,73.27020774202781,-19.540759081943882
Japan,2013-07-01,320.0,100.105,3.1966435242994855,70.22677395757133,-29.84688681127684
Japan,2014-01-01,310.0,104.245,2.973763729675284,67.0391061452514,-35.690818604967724
Japan,2014-07-01,370.0,101.53,3.644243080862799,77.16371220020855,-23.99910154613557
Japan,2015-01-01,370.0,117.765,3.141850295079183,77.24425887265136,-34.40813580210473
Japan,2015-07-01,370.0,123.935,2.9854359139871707,77.24425887265136,-37.673571733044454
Japan,2016-01-01,370.0,118.645,3.1185469257027267,75.05070993914808,-36.74347006688181
Latvia,2004-05-01,1.09,0.5458,1.997068523268597,0.37586206896551727,-31.135568163151827
Latvia,2005-06-01,1.09,0.5671,1.9220596014812201,0.3562091503267974,-37.18759472283595
Latvia,2006-05-01,1.35,0.5476,2.465303140978817,0.43548387096774194,-20.47409222648978
Latvia,2007-01-01,1.35,0.5476,2.465303140978817,0.4192546583850932,-23.43779065283178
Latvia,2007-06-01,1.39,0.5109,2.720688980230965,0.407624633431085,-20.214399406716577
Latvia,2008-06-01,1.55,0.4433,3.4965034965034962,0.4341736694677871,-2.0587255881373556
Latvia,2009-07-01,1.55,0.5017,3.0894957145704605,0.4341736694677871,-13.459503793544524
Latvia,2010-01-01,1.55,0.5017,3.0894957145704605,0.4341736694677871,-13.459503793544524
Latvia,2010-07-01,1.55,0.5529,2.803400253210346,0.41517857142857145,-24.9089217890086
Latvia,2011-07-01,1.6,0.49475,3.233956543708944,0.3936039360393604,-20.443873463494622
Latvia,2012-01-01,1.65,0.55035,2.9980921231943305,0.3931173491025012,-28.56957407059123
Latvia,2012-07-01,1.69,0.5744,2.942200557103064,0.39052570768342,-32.011541141465884
Latvia,2013-01-01,1.69,0.51525,3.2799611838913147,0.38695828463758436,-24.89892583452996
Latvia,2013-07-01,1.69,0.54635,3.093255239315457,0.37088514996342353,-32.11583234860007
Lithuania,2004-05-01,6.5,2.8731,2.262364693188542,2.241379310344828,-21.987424372808885
Lithuania,2005-06-01,6.5,2.8132,2.310536044362292,2.1241830065359477,-24.492286131951246
Lithuania,2006-05-01,6.5,2.69445,2.4123661600697734,2.096774193548387,-22.181736771942806
Lithuania,2007-01-01,6.5,2.69445,2.4123661600697734,2.0186335403726705,-25.081796271125068
Lithuania,2007-06-01,6.6,2.53355,2.6050403583904007,1.9354838709677418,-23.605854592656872
Lithuania,2008-06-01,6.9,2.177,3.1694993109784106,1.9327731092436977,-11.218506695282604
Lithuania,2009-07-01,7.1,2.4753,2.8683391912091465,1.988795518207283,-19.654364391900657
Lithuania,2010-01-01,7.1,2.4753,2.8683391912091465,1.988795518207283,-19.654364391900657
Lithuania,2010-07-01,7.3,2.6937,2.7100271002710024,1.9553571428571428,-27.40998838559815
Lithuania,2011-07-01,7.3,2.4084,3.03105796379339,1.7958179581795817,-25.435228442967038
Lithuania,2012-01-01,7.8,2.7216,2.8659611992945324,1.8583729230300057,-31.717632163800502
Lithuania,2012-07-01,7.8,2.84805,2.7387159635540104,1.8024263431542462,-36.71366924196394
Lithuania,2013-01-01,7.8,2.5445,3.0654352525054036,1.785961313711928,-29.810913196623
Lithuania,2013-07-01,8.6,2.68545,3.202442793572772,1.8873445501097292,-29.71961681990991
Lithuania,2014-01-01,8.8,2.5454,3.457216940363008,1.903045593800685,-25.23589244123968
Lithuania,2014-07-01,8.95,2.56455,3.4898910140180535,1.8665276329509906,-27.21812275249106
Malaysia,2000-04-01,4.52,3.8,1.19,1.800796812749004,-52.61061019081568
